Reviews,Recommendation
"Even when I am outside in full sun, the lyrics of the book i â â â ã are always clear. Only the only the Kindle Oasis that cost me. I really read for hours at the same time. Sometimes I scrape the ground while I read. Sometimes I am on my elliptical machine when I read. And sometimes I am sitting. He is important.Always easy in my eyes.When I receive a book that is in PDF, most of the time, I can enlarge the words. It will allow me to enlarge the words, I can modify the orientation of the page and the words are automatically larger. I am able to take notes on the book if necessary, and I can highlight the words and / or the passages.My Merlot leather cover is attractive. When I opened it, it's like opening the cover of a book.How to make Laston battery the Kindle Oasis page, he says that his battery load system in ã âau place to load my tablet almost every day, I could read for months without loading the Kindle!This is how my oasis played? Well, not so much. There are conditions that must be fulfilled so that the burden of your oasis lasts two months. This is impossible for me. There are days that I can only read for thirty minutes, but they do not occur very often. My Kindle goes everywhere with me, and I use almost every moment to read to read.Second, the wireless must be deactivated. This is easy to do but not always easy to remember. The only time the wireless must be on is to download one or more books. I keep my light setting from 16 to 18 years old. Mon light adjustment is preserved from 16 to 18 years old, and I fell asleep my Kindle the second I am reading. So, how long does a single charge last me?Present, but that would have kept a charge for several days if I remembered my wireless. Once I have managed to keep my wireless, I will let you know how long the load lasts. I allow my roofing load as low as possible, then the Kindle battery will start to flow because it can no longer take care of the cover.The thing that surprised me is that everything about the oasis is in black and white. For any reason, I thought that perhaps the covers of the book would appear in color. But since I bought the oasis to read books, the color is not necessary.Special offers appear on my screen, but only when my Kindle is going to sleep or wake up. They are not a distraction, and to be honest, they are rather fun to watch. You can pay a higher price so that they do not appear on your Kindle if you prefer not to see them.I asked myself questions once I had my kindle and I knew how it worked. If I had known before buying my Kindle Oasis, the charge would not have lasted for months, would I have always bought? Yes, I would have done it. If I had known everything would appear in black and white, would I have always bought it? Yes, I would have done it.",No
"Even when I am outside in full sun, the words of the book I read are always crystal clear. Only the Kindle Oasis that cost me. I really read for hours at the same time. Sometimes I put the ground while I read. I am on my elliptical machine when I read. And sometimes I am sitting. He doesn't matter what I do, the Kindle Oasis isMy eyes.When I receive a book that is in PDF, most of the time, I can enlarge the words. If it will not allow me to expand the words, I can modify the orientation of the page and the words are automatically larger. I am able to take notes on the book if necessary, and I can highlight the words and / or the passages.My leather cover Merlot is attractive. When I open it, it's like opening the cover of a book.How to make Laston battery the Kindle Oasis page, he says that his double -battery load system offers months of battery life. It was a huge thing for me. On the place of loading my tablet almost every day, I could read for months without loading the Kindle!This is how my oasis played? Well, not so much. There are conditions that must be fulfilled so that the burden of your oasis lasts two months. This is impossible for me. There are days that I can only read for thirty minutes, but they do not occur very often. My Kindle goes everywhere with me, and I use almost every moment to read to read.Second, the wireless must be disabled. This is easy to do but not always easy to remember. The only time the wireless must be on is to download one or more books. I keep my light setting from 16 to 18 years old.I am not limiting my reading to thirty minutes a day, and I try to remember to keep my extinguished wireless. Mon light adjustment is preserved from 16 to 18 years old, and I fell asleep my Kindle the second, I am reading. So, how long does a single charge last me? Ten days, it is the longest that a charge lasted to me so far, but it would have kept a charge for several days.To keep my wireless, I will let you know how long the load lasts.Now, I do not connect it to load as soon as the load on the cover becomes low. I allow my cover load as low as possible, then the Kindle battery will start to flow because it can no longer take care of the lid. I allow it to flow about 50% before connecting the cover and turning on my computer to load.The thing that surprised me is that everything about the oasis is in black and white. For any reason, I thought that perhaps the covers of the book would appear in color. But since I bought the oasis to read books, the color is not necessary.Special offers appear on my screen, but only when my Kindle is going to sleep or wake up. They are not a distraction, and to be honest, they are rather fun to watch. You can pay a higher price so that they do not appear on your Kindle if you prefer not to see them.I asked myself questions once I had my Kindle and I knew how it worked. If I had known before buying my Kindle Oasis that the load would not last for months, would I have always bought it? Yes, I would have done it. If I had known that everything would appear in black and white, would I have always bought it? Yes, I would have done it.",No
"Although he could not get one from Amazon until the end of June due to a strong apparent demand, Best Buy was able to obtain one on the day of its release on April 27.Bravo Best Buy! Having owned several previous Kindles, including the most recent Paperwhite model, I have not been prepared how small and light Oasis model - Reading on this subject is one thing, but making one in your hand is something else. The oases and its battery loading cover weighs only one ounce more than the last white paper without case.Incredibly light at 4.6 ounces. In terms of size, the oasis is almost a square shape about 5 ""wide by 5.5"" high. In fact, the shape is so different from the traditional Kindle conceptions that I had to compare it next to my paper paper to check that the screens are in fact the same size (they are).effort, for frequent travelers like me, this is a key reason to buy one, because it is extremely compact and easy to wrap in a briefcase or a handbag. The screen is the first lighting Kindle before I never saw where you can simply see any trace of the LEDs from a angle. Pas of dark spots, no light points ... just a completely uniform lighting from one side to the other.Almost rinsed with the upper glass surface, helping to reach the illusion of printed paper. It is clear and clear, better than any Kindle that I have used. The reader can be easily separated from the battery case by simply separating them, because they are kept with magnets. After that, this is where the achievements of the Amazon engineering team really become clear, because you will not believe whatMaintaining it for hours without any arm fatigue, and getting hands in hand is a simple question to run 180 degrees during switching. The display runs instantly and the turns of the page ""also follow"", the upper button always used to advance the page, and the lower button is always used to go back. You can also use the screen to modify the pages as you have always done with modelsPrevious.The battery on the player has a capacity lower than the battery of the coverage, so it extends more quickly if you have not connected it to the case. It is very easy to recover the reader in its cover, which allows it to recharge while you continue to read. The power button and the load port are located in the upper upper corner, more or less opposite from the place where they are less.annoying, because it is easier to reach on top than on the lower edge. The rear surface of the reader (not the case) seems to easily attract fingerprints, and they are not so easy to clean. One might think that Amazon would have found a way to prevent this now. It is a minor discomfort. Many criticisms of the technological press have complained noisy of the high price of this model compared to other Kindle models (without advertising$ against $ 139 for a white paper without advertising). Is a lot of money? Maybe, but if you are a drug addict and enjoy an extremely light reader that is easy on your arms and eyes, then I personally think that it is worth it. Light of reflection and efforts were clearly devoted to the design and construction of this unit, and the price reflects this?To do this when you consider how many months you will have to wait to get one on the Amazon website. If you are a serious reader, this device deserves a very close look - I definitely keep mine!",No
"I have had a matter for some time and I was curious about the oasis. It did not disappoint. It is very compact, even with the lid, and is part of a coat pocket. I really appreciate the size and the overhaul which brings back the hard pimples.",No
"I have always been a fan of the Kindle, since the first was released for a decade again.I was enthusiastic about this Kindle because of the many premium features that he has shown - the fully metal finish, the high -resolution wreak display, the backlight, the lifespan of the extended battery, etc. of more, I was more frustrated by the fact that I learned that there was a cellular version (available directly on Amazon) but not in the store.seems unreasonable and like a scam. More, the fact that it only supports WiFi (not cellular or whispersync) makes it even more an inconvenience and something that I would not recommend to a friend - he is held to the cheaper version.I also found boring problems trying to get my Apple Airpod headphones to work with this device. The twinning took an eternity to finish or work (I had to try three times different) and if the unit is too long, I found that I had to start the entire matching process again; they were not automatically connected and synchronized at the time I had the two activated devices.",No
"Excellent product.mon grands love it. Rut, easy to use and yet difficult enough to learn at the same time",No
"This is the best tablet for a children's tablet. The changed Android operating system with the integrated Amazon features is excellent. I review what it is, a children's tablet. It has a 1.3 gigahertz processor, which means such a small device decently.Pulled in 720p, which does not mean complete 1080 HD or 4K. Having once, if you bought it for a camera, you are mistaken, but for a child from 2 years old to 12 years old, it's good. It is 1 RAM concert, it is a little slow on more detailed games. Our 2 year old child does not play heavy graphics games that occupy the CPU and the GPU.Rubber for the protection of droplets and she threw it several times with enthusiasm and he has done his job. He has no GPS or radio resources, but he has Bluetooth and Wi-Fi.",No
My 3 year old child loves his new tablet and my wife and I are happy to recover ours. Very simple use. All his favorite applications on it.,Yes
"Amazon's devices are improving more and better with each version. I had the original Kindle Fire and it is by no means an Apple iPad replacement, but what it does better than anyone. It is a perfect and perfect start -up tablet for a child. The price prevents you from worrying about the drops and the interface is easy to use.",Yes
"Beautiful article, and cute. The tablet is difficult to navigate",No
"Works well on wifi, if not a little slow. Following it, however, appreciates it. For the price, it's good.",No
"So I bought these little guys these tablets ... so that I could resume my iPad. I love the free time application but who could have imagined that they would not play Netflix !! then now ... I got money for the tablet and I still have not my iPad ... And yes, I called Amazon on several occasions ... They work after the correction, but the next time they are going to use them,is forcibly by stopping the application, cleaning the cache then doing a little restart ... So you have to wait to restart Netflix ... Oh and sometimes you have to make moments before that before it works ... if it works absolutely ...",No
It is very durable for a young child. It is very easy to use even for my 2 year old granddaughter.,Yes
I bought this for my young granddaughter. It is so easy for her to use it. We can control the contents. She learns her colors and her alphabet using this tablet.Beaucoucou of free content. It was easy to connect to WiFi at home. Battery liner.,Yes
"My fine children are quite difficult on their toys and they have lasted so far. Facile to update and add games, applications and equipment related to school.",No
"Very easy to use for our seven -year -old child. I will probably upgrade in a year to something with more capacities and more memory. It had an iPad (lost) and lack, but it is compromise until we saw more responsibilities in the way in which it is treated.",No
"I bought this in replacement of my child's iPad. I took it a little time to learn the new operating system, but once it understood, it was quite easy. Light of content and excellent at the price.",Yes
"Not only for children, for the disputed tablet (me), I find it easy to work with",Yes
My 5 year old grandson really likes his new tablet. He has had it for several months. The only negative I see is that the load port is starting to detach itself. The small plug may not be robust enough for a 5 year old child.,Yes
It is a good tablet for a young child. A little difficult to navigate even for adults. I can't understand how to browse the internet!,No
This Kindle is very slow to recharge. The granddaughter has trouble waiting for her to charge.,No
"Overall, a good first tablet for a child. I find it difficult to find a specific game on the child user. The adult user has a search function. I don't know where the research function on the child of the child.",No
needed a difficult small tablet for my grandson. I had it a few months and resisted very well.,No
"It looked easy, but difficult to configure if no experience with Apple products",No
It is a large tablet for a destructive 10 -year -old child. It has always been strong for 2 months now,No
"My children really appreciate this tablet. We tried other brand tablets and they were not too suitable for children, even if they were children's tablets, and I found them a little advanced for the age of my children. So this tablet was perfectly suited to age, and with a greater memory than the previous one, no complaints.",No
Beautiful tablet The colors and the visuals are great and the many downloadable and downloadable applications that accompany it are great. Something for all ages and very simple - my niece and my nephew have 5 and 4 and they find it very easy to use. The hard rubber blanket is an excellent supplement - I had to buy a blanket for the last tablet and it costs more than $ 30 for something robust and protection.,No
Bought for grandchildren to use during their visit. They never seem to be bored. Do you have the password protected or you can find a quick execution at the expense!,Yes
"Young children love it, easy to use and take a hit but always cheap so that if it breaks, you do not also break the bank",Yes
"I thought it would be too advanced for my 3 year old child, but she loves it. Facile for her to navigate and learn patience. The games, books and applications are perfect for age group. Parental controls kept her honest.",No
I bought 3 of these tables which still gave them a little child next year next year. They are hard that the case in heavy rubber really safe. Bon product!,No
"As this product is designed for children, most would already assume that it is sustainable, but I will go further and develop that my 2 -year -old friends have dropped it several times on concrete and that the case has done its job and kept the Kindle intact. I am very satisfied with this purchase, just like the child. No heavy and it can hold it without problem.",No
"The product was purchased for 6 years. Very excited to use. It was difficult to navigate at the start.The battery life is not as planned (too short). Short load. Load port on the tablet site, easily worn out. Very positional when loading when it is connected.Will keep with Apple products for the moment.",No
"This is excellent for children 3-7.The only thing I don't like is that it is difficult to go to children's web pages by typing a web address once you have configured the profile of children, and this removes easy access to the camera that children like it. I may have misplaced it because it has not come with printed instructions and I am not warned in technology.",No
It is really very comfortable and easy and strong for the toddler my baby really likes to use these children Amazon Fire,No
I bought this for my great-grandson who was 3 years old. I had bought one for her 5 year old sister for Christmas and it became the object of dispute between them because he also wants to use it. They both appreciate it. It is entertaining and educational.,No
"Super tablet for my children, they like these Kidle Kid Kidle tablets and they are very strong, keep a lot. The price is also great.",No
"My daughter (4) She loves it. Facile to sail, difficult to break.",No
"purchased the tablet for my 9 month old daughter since i notice that she loves phone screens and tablets. keep in mind isn't intend for kids her age but make sure there is adult supervision. pluses: the tablet can take a good beating. tons of hard tapping and even with the tough case can even take biting as well without causing any damage to the pink case. ( daughter is teething lol) . i'm a amazon prime member,which gives access to tons of shows and free apps. so if you have prime you can totally take advantage of a full library of entertainment. some of the apps are great even for my 9 month old daughter works great to keep her entertained. also when she is older i have tons of options to change and control. also i get my own side she can't do anything unless i give her action.cons: average battery life 5-6hours tops of nonstop use and also wish that there was a way to lock the screen while watching amazon, netflix or any other video app so when my daughter taps in any direction or anywhere that the videos wouldn't stop playing.",No
"this is the third kindle fire in my household, but the first kid's edition. i absolutely love this thing. it's very intuitive if you've ever used another android style device. my 6 year old and 3 year old both have a their own profile, each linked with different movies/games. setup was pretty easy with choosing preferred content based on characters/themes appropriate for their age group. moving our disney and other digital copies of movies was equally easy after signing in. the battery lasts about 4.5 hours before needing a charge, which is plenty for our use. the biggest complaint is that the micro usb connection isn't the best. the cord has a tendency to come loose and stop charging if the device is jostled even the tiniest amount. i've seen this problem with other kindles as well. this is aa bunch problem if you think that you're charging it overnight only to find out that it stopped when you set it down. it also makes it very difficult to use during a charge. the amazing amount of content that you get from the amazon library with the included year is nice as well. my 6 year old gets to try a bunch of games that i otherwise wouldn't let him try since i'd have to pay and he most likely get tired of after 5 minutes. overall, i'd say the best kid tablet out there.",No
goog tablet the only bad part is that you have to be creating a profile and thats where it gets complicated because when they sell u the tablet they saw its for kids,No
It is one of the best children's tablets that I bought. It is not as limited and complicated to operate as the other tablets that I tested.,No
"Overall, excellent product. The 5 year old age can use it easily and it is ideal for ensuring that young children cannot access the content that is not intended for them.",Yes
"Really like this quite easy to install, I love the bumper also the free time parameters when the weather has passed, that's it and no figure with mom. I thought he saw something indicating that the free time functionality is only free for a year, so the note can change if I find that it is true. Dette to be billed for what Kindle was intended.",Yes
my son washed it twice! throw it a few times and it's still ticking.,No
"It is an excellent tablet for children with a lot of good content and a guarantee without looking for Amazon at 2 years old and a free one year subscription for the content made it even better. The parental control on this subject is great, we, the parents and my son, like this device. The only drawback that I see is that the load cable is very small that it is difficult to load it without putting it on something to reach a regular output.",No
"I bought this tablet for my 10 year old son and he loves it. Ideal for movies, games and reading books online. I would definitely recommend it as a start -up table for young children. The hard protective cover is a plus.",No
"i have two young sons. after their previous tablet broke, i had to decide on which new one to replace it with. there is a growing number of tablets and systems to choose from for kids now. having had previous experience with an amazon fire kids edition in the past, it was hard to ignore the many great features that it provides. although it lacks google play, this is ideal for kids 3-8.",No
i recommend it for kids .great for find games easily.,Yes
"I just want it to be a little less easy for a toddler to get out of the applications. They will be on a game or a show and accidentally ... or draw with a designer of curiosity and it closes the application. He needs less sensitivity, but it is always an excellent tablet for toddlers and more.Me trying to download applications, then I turned throughout the screen was completely cracked as someone struck it with a hammer. Since then, I had no problem with the new",Yes
I bought 2 of these tablets for my grandson who both have autism. They can be very hard with things and it is 1 tablet that none of the two boys could yet break. They are very easy to use and they love them. The only thing with them is that you need an Amazon account for them.,No
It is an excellent product. The tablet is made difficult and excellent.,No
hard time getting the free apps to load and the voice app to turn off when my seven year old accedently turned it on.,No
my daughter hasn't put it down since christmas. we're both in love! it's very easy for her to operate (she's 2) and very easy to set up. it's a win win for both parent and child.,No
"Very suitable for children, especially with 2 younger brothers and sisters. The bright color is fun and easy to find",Yes
My daughter loves this tablet to bring her down. Strong tail and a full tablet for her as she aged,No
"This tablet is great. Let’s get it from Amazon, you can easily move to a different profile and use it when the children finally drop it off. I have 2 and a half years twins and it is difficult to make them sit. With Kidle Fire of Kid, they are more than happy to settle on the sofa and play. I highly recommend buying a life saving.",No
"i bought 2 of these tablets for my two youngest children. they had a lot of options to chose from as far as children apps go, but they were already familiar with the ipad since they stole mine all the time. lol. that made it hard for them as well as myself to figure out how to use at first. besides that, it's a good product.",No
Need to have better information for children with special needs. YouTube children are confusing but I love the warranty,No
it's simple and not difficult for young children to learn. also is build sturdy in case it does get dropped more than a few times.,No
My daughter loves this billing problem for the problem if Farone is weak and has trouble loading,No
"I have this for my children, they will not deposit it but can be confusing with the configuration",No
"i'm not huge on kids using electronics, but my son (4) loves this when we take trips as he can play some of the downloaded games. we love it for when we want to get stuff done and still want him to be occupied and this does the trick. it's a little hard to navigate at first though.",No
"It is also a good tablet for children and adults. However, there is a problem with the cable of the port and the charger. We did not even have this tablet 3 weeks before it loads barley. I brought it back to Best Buy and they said that they could not fox, and imagine that the port is not covered by the manufacturer's warranty. Now I have a tablet that takes a few days.",No
the tablet is great for young children. they really enjoy. it can be slow at times and they get frustrated when that happens.,Yes
"Difficult to connect to the Internet. Extremely slow to load applications. Not many free applications like Apple. The only thing I really like, this is the protection it offers.",No
"cumbersome, complicated and not kid friendly..... went with apple, suggesting you do too.",No
"When I bought 2 if they, I suppose that it would be suitable for children. His filling of tons of bloating. The opening screen has about 15 to 20 applications. He worse than a normal adult tablet. Meshs do not use it at all because we have to unlock it for them each time, then open the application for children. We must hover over them to help them.",No
very difficult to connect to you tube. very frustrating,No
"Large tablet. He came with lots of good applications just for children. Our girl is 2 years old and she had no problem learning to navigate and use the applications. In addition, the case maintains the protected tablet and it is quite difficult with good adhesion. Be well.",No
"My son likes his tablet! It is easy for him to use it and he likes all the games that accompany him. No problem with the storage or speed of applications. I previously bought him the Samsung tablet and when it broke, it was difficult to repair it.",No
"I bought this tablet just after the black friday. There were good criticisms, a perfect guarantee for children and a famous brand image. Once installed, it has a good light and difficult to remove for a child. The free -and -one -year -old software is user -friendly and practical to navigate. Until now, we really like this tablet.of play, the battery is around 50%. Very satisfied.",No
i bought this tablet for my son and i don't like it. the touch screen is very poor quality. it's hard to move things around on it when he is playing a game. he prefers my ipad than to use his own. i know the ipad quality is probably the best quality but it's way under that! very frustrating. will be returning it.,No
"my stepkids are pretty rough on their toys and these have lasted pretty darn well so far. easy to update and add games, apps and school related material. go for it if you are looking for a pretty darn decent tablet for the lil ones",No
"My fine children are quite difficult on their toys and they have lasted so far. Facile to update and add games, applications and equipment related to school.",No
"after owning the kids samsung, this seems confusing to navigate. also they have returned to using the samaumg",No
"this is perfect for young children and comes ready to use straight out of the box. the case is very well built to protect the tablet and the device is actually pretty light and easy to hold. once you sign in with your 'parent' account, you can set up your child's profile and it's ready to go. easy to navigate menus with great parental controls - this tablet truly delivers safe content and games for hours of enjoyment. the key is to load new content while you have access to wifi so the books, games and videos are available while traveling.",Yes
this thing is pretty cool. my nephew is pretty rough on this thing and it holds up. nice job on the heavy duty case. it is a little slow though.,No
We were looking for an easy tablet that has all the great characteristics and functions with which a young child can learn and grow. I will be a great Christmas gift.,Yes
I bought this for my young granddaughter to start teaching her colors and basic figures. She uses it as a pro and we have a wide variety of teaching games. Sested parents have just bought one for their home. Use for a year and still work like new.,Yes
works great for my 2 year old. i don't like that it requires a pin to use it but goodidn't and strong tablet,No
"So far, then go ahead, it has been difficult to find a good tablet for a 6 year old child, I think we found it.",No
"Tablet works well for a child, easy for our almost 4 year old child to navigate between activities. Differable to beat with the case and the 2 year warranty.",No
"The clarity of the screen and the text behind makes it an improvement of my old tablet. I can now read this in low light and also enjoy the color. I appreciate my new Kindle, but it has presented some challenges in its configuration. I would recommend help in the store to help you start.",Yes
meh. it works. i find it difficult to navigate. i also have an ipad mini. this seems to be less intuitive than the ipad.,No
"my daughter absolutely loves her new fire, lots of space, easy to set up and lots of apps",Yes
i have put off buying a tablet because all the ipads i tried with friends were hypersensitive making it difficult for me to navigate easily. this one is the bomb - i am 68 and not a techie but quite intelligent - this kindle fire is a perfect fit for me and does everything i want it to do and more with great speed and wonderful resolution. i am new at tablets and look forward to enjoying learning all that this kindle fire will provide for me - so far each step has been a breeze. i just love it.,No
"this tablet is designed primarily to sell, distribute and store media purchased from the amazon.com product line, ie kindle e-books, movies viewed or stored from their online movie streaming service, etc., and it does that very well.reasonably sharp screen, good sound, good battery life and decent component materials. it uses their version of the android os which they call the fire os which is decently responsive and fairly intuitive to use - be aware that you cannot install or run most apps purchased from the google play store, but must rely on amazon's own app store which is decent, but not as extensive as either apple's or google's.",No
"If easy to use and navigate. Easy Amazon Discounts Easy from applications, etc.I am in the older generation who has trouble navigating electronics, but not this tablet and Best Buy employees were excellent to help me decide by giving a tutorial and information on the tablet.",No
"i've had lots of tablets in the past, mostly from the samsung line, but this is my first amazon fire, so i want to write this review for others who have never tried one of these. at the time that this was written, alexa had not been added to the tablet.first, while this device runs an android type of operating system, amazon puts its own spin on the operating system. i don't feel like i'm using android. this feels different to me. it doesn't have the same level of customization that android users have come to appreciate. that being said, if you are an amazon prime member, this device has been tailored to be your content entertainment machine. it's simply a fun way to consume your magazines, books, etc.there are 3 on-screen buttons on the bottom of the device. the middle button immediately takes you to your home screen. the button to the left acts as a sort of ""back"" button. it also lets me get rid of my keyboard when i don't need it on screen, but it's open. the button to the right is super important. it took me a couple of days to realize what it does. that square shaped button is what you press you see what apps you have open. it lets you switch between apps, but it also lets you see which apps you have open and close them out. you can close them by pressing the ""x"" button in the corner of the window that appears or by touching the app window and swiping to the right. if you leave all of those apps open and you never close them, you'll drain your battery. make sure you use that little square button to clear your apps.the device has several menus that you swipe left to view. first, you start with your home screen. you literally can stay on this screen and do anything you need to do on the tablet. all of your apps are housed here. you swipe up to view all of them. the tablet comes with several apps pre-installed such as slik, amazon's own internet browser, audible, good reads, the amazon app store, a weather app, etc. you can go to the amazon app store to download other apps such as twitter, facebook, etc. you can combine the apps on this page into folders. you just drag one app to another app and a folder appears. this made my home screen much more manageable. you can change the size of the font on the home screen from normal to large or small in the device settings. this feature doesn't necessarily increase the size of the font within your apps, however. i believe it only changes the font on your main screens.if you have a magazine or newspaper subscription that is connected to your device, when you have a new issues, it will show up at the top of your home page screen under the heading of ""new items."" the device comes with a free 6 month subscription to the washington post. you'll see that under ""new items"" when you initially activate your tablet.you can change the wallpaper on the screen to use one of your own photos. you can do this through the settings menu on the device. if you want to use one of your own photos, however, you need to either take it on the device or move it into amazon's photos app, which is a cloud-based app.so far, i haven't found a way to effectively use a different photo management app that will let me change my wallpaper. i'm not crazy about the amazon photo app. i found it annoying to move my photos from my phone into amazon's cloud just so i could view them on my tablet. that being said, i'm not planning to take photos on this device. i just wanted a few pet photos on there and the ability to change my wallpaper.beyond the home screen, you can swipe to the right to view your other screen. they are pre-arranged to be: books, videos, games, shop, apps, music, audiobooks, and newstand. all of those screens are connected to your amazon account. for example, if you have kindle books you've already purchased, they automatically will appear under the books menu. your magazines and newspaper subscriptions will appear under the newstand menu. there doesn't seem to be a way to change the order of the menu pages. that bugs me, but it's not the end of the world. there's also one menu to the left of the ""home"" menu. it's the ""recent"" page. it shows you what you've received looked at on the tablet. i never use it, but it might be handy for some people.one of my favorite features of this tablet is amazon's ""on deck"" capability. if you're an amazon prime member, amazon will periodically download a video to your device that it thinks you might like. the items don't count against your pre-installed memory and they automatically deleted off if your memory starts getting full. you can turn off the ""on deck"" feature if you don't like it. i've been content with the video playback capability. this isn't my major use of the device, but the images look fine and the audio is ok. i'll talk more about the speakers later. my other favorite feature of this tablet is viewing magazine content through the newstand. i've tried 3 magazines on here and they all look gorgeous. now, i can always have my magazines with me so if i'm stuck at the airport or at the doctor's office, i always have them. one of my regular magazines includes a free digital version of the magazine for free. i just had to connect my account to the device. this allows me to download the back issues of the magazine for as long as i've had an account. my other magazine didn't include a digital edition so i canceled the print edition of it and switched to the digital version. (it was an inexpensive magazine, anyway.) there are several magazines that you can try free for 30 days on the device. i did this with a third magazine and decided to keep it for a year. viewing magazines on this gadget is a pleasure.the kindle fire doesn't come with the google play store installed. you can side load it to the device without rooting it (and breaking your warranty.) you can google to find the instructions to do this. it's not difficult to do if you're fairly comfortable with technology. it probably took me 10 minutes. most of the apps i wanted were in the amazon store, but there were a handful that i had paid for through google play. the only way i could have them was to go back to access that store. they have worked fine so far. i despise the keyboard that amazon pre-installed on this device. there are no lines between the letters on the keyboard. i suppose it designed to be better for swyping through keys, but i hate it. i fixed that problem by going to google play and downloading a new keyboard. it was a pretty easy problem to solve so i can't complain.apps that are connecting to the internet can be a little slow to load on this device compared to my other gadgets, but that generally doesn't bother me. if you were using this tablet to replace your personal laptop, however, that might drive you crazy. the screen on this device isn't bad. if i compare it to my fancy phone, it's not as shape, but when you think about the price of this device compared to my smartphone, the screen is outstanding.the speakers are ok. there are two of them located on the bottom of the screen. i won't say that they are fantastic. they aren't. in my opinion, they are fine for watching youtube or a television show. they are not ok for listening to music if you are an audiophile. you can make it a little better by downloading a different music app instead of relying on the pre-install app, but still your music will sound tinny. that being said, you can always connect your tablet to a bluetooth speaker, use a pair of headphones, etc.this device wasn't made for taking pictures. it has a front and back camera, but they aren't designed to be spectacular. i'm not using them.i find this device a little difficult to hold in my hands. i think that's partly because of the size and partly because it feels very slick. also, i do have some hand problems (similar to someone who has carpal tunnel syndrome). i think it will be easier to handle once my case arrives. i'm still waiting for it. i'm greatly enjoying this device. it's simply fun to use the tablet. there are weaknesses that come with that lower price tag, but you legitimately get a lot of bang for your buck, particularly if you regularly use amazon services. if you don't typically use amazon and you are just looking for a tablet for viewing the internet and you're looking for a low price tag, this device may be ok for you.",No
"I really appreciate my new Kindle Fire HD 8. The photo is great even for a film. I mainly use it to read with a game or an occasional film too. The colors are great and the screen size is very pleasant. I have a 7 inch fire and there is enough difference in size for movies, etc.For it to be worth it, there was an excellent price for Black Friday.",Yes
"I bought this Kindle for my 11-year-old granddaughter for Christmas. Mon Mari and I have both had Kindles several years ago, and she and my 6 year old grandson love to watch and play on them. The two children have all kinds of game systems but use the Kindle much more. 6 year old grandson always plays with mine and like to watch Tube, videos and play games.Xbox, SEGA, DS but still uses my Kindle all the time on these systems. MARE used her time for everything, search for movies and emissions. I prepare to buy a new Kindle from my grandson (mine is a little older and has cracked the screen now but still works well).He would like one to call his. I look at 16 GB or 32 GB. They are really durable and difficult.",Yes
"new kindle fire 8 is easy to setup, great for reading, no issues at all when trying to connect to my home network. i would recommend this item for anyone who wants to read and get on the internet.",Yes
"A little more complicated than my original Kindle, but I like it.",No
I used it to watch TV shows. The photo was clear and the audio was decent for the location of the speakers.,No
Perfect tablet for the passionate reader. Grandes of light blue light filter functions to protect the circadian rhythm so that you have no trouble falling asleep after being exposed to the light of a typical tablet. Facile to use and adapts perfectly to the hand and not too heavy for hand use.,No
"I was trying to upgrade my old Kindle reader and I came across the HD Fire which is not only a reader but also a tablet. Easy to use. I really needed to read books, but how a tablet too. I want it to take care of all the Google Play applications and not only Amazon applications, but I can check the emails and access the web to serve the goal.From the night, going to the web can be distracting.",No
"I thought it would be perfect for my two children. The case, the guarantee and the passage to download unlimited applications seemed excellent. However, the PAD is sometimes insensitive and incorrect - which can be frustrating for the children. The affair is a little too large. And it can be confusing for children who want to push an icon to play, but it is downloaded.will overcome over time, but it could be more user -friendly for young users.",No
"this is the best tablet for a kids tablet. the modified android operating system with amazon features built-in is great. i am reviewing for what it is, a kids tablet. it has a 1.3 gigahertz processor, meaning for such a small device that decently enough. internal memory is 8 gigs but you can expand to 256 gigabytes. you wont run out of memory. it has a 2 megapixel camera that shoots in 720p, meaning not full 1080 hd or 4k. again, if you bought it for a camera you'd be wrong, but for a kid 2 years to 12 years old, that's good. it has 1 gig of ram so it is kind of sluggish on more detailed games. our 2 year old isn't playing any heavy graphics games that take up the cpu and gpu. it came with a nice rubber case for drop protection and she has thrown it a few times excitedly and it did its job. it has no resource hogging gps or radio but it does have bluetooth and wi-fi.",No
"Amazon's devices are improving more and better with each version. I had the original Kindle Fire and it is by no means an Apple iPad replacement, but what it does better than anyone. It is a perfect and perfect start -up tablet for a child. The price prevents you from worrying about the drops and the interface is easy to use.",Yes
"loving my kindle! can read all the books i want from the library without leaving the house! and when itã¢ââãâãâ´s time to move, no more heavy boxes to haul!",No
It is difficult to understand the instructions. I still work on it.,No
"So I bought these little guys these tablets ... so that I could resume my iPad. I love the free time application but who could have imagined that they would not play Netflix !! then now ... I got money for the tablet and I still have not my iPad ... And yes, I called Amazon on several occasions ... They work after the correction, but the next time they are going to use them,is forcibly by stopping the application, cleaning the cache then doing a little restart ... So you have to wait to restart Netflix ... Oh and sometimes you have to make moments before that before it works ... if it works absolutely ...",No
He does his job but I would buy one that the screen is brighter. There are times when it is difficult to read because the screen is not too shiny,No
"very easy to use for our seven year old. will probably upgrade in a year to something with more capabilities and more memory. she had an ipad (lost it) and misses that, but this is the compromise until we see more responsibility in how it's treated. seems durable thus far.",No
